,confirmed_tweet_ids,user_id,mbti,twitter_text
0,5.77481304599511e+16,248346798.0,ENFJ,
1,2.2859629044185498e+17,188226854.0,INTP,Nieuwe app: Bekijk Google Analytics op Google Play! https://t.co/rPHPZ94e
2,5.121275392850739e+17,9334412.0,INTP,"Ja maar: gaat het echt 25 graden worden, of zijn het zo'n 25 graden van uit den Aldi?"
3,6.155530021292278e+17,41347656.0,ENFP,@LeonvanNoort Ja dat snap ik. Dus? A) hebben ze jaren geen of bijna geen belasting betaald en B) willen ze toch ook hun eigen land redden?
4,4.836102414863073e+17,9334412.0,INTP,"Dit klein kind moet toch altijd eens grinniken bij de naam ""Veli Yuksel"""
5,5.838725675235983e+17,13149902.0,INTP,"@StijnVanDeTrein ja maar, in die Nederlandse trein zie je het verschil niet tussen eerste en tweede hè!"
6,4.835571974783795e+17,60539151.0,ISTJ,Alle #HomeRide kanjers en @Kinderfonds collega's: heel erg bedankt voor super tof #HomeRide weekend!! Beter kon mijn stage niet eindigen!
7,3.3441412850242765e+17,24859792.0,ENFP,
8,6.298955777828741e+17,105082350.0,INFJ,
9,1.2674944687159296e+17,101726966.0,ENFP,
10,1.5242944797751706e+17,149223385.0,ENFJ,Eventjes met Lars naar buiten .
11,4.998354720391332e+17,17127022.0,ESFJ,@RolfDijkstra goes ook niet dus ben nu ff gauw haha
12,6.237975036584468e+17,44845268.0,ENTP,
13,6.39766113740542e+17,1234419836.0,ISFP,@KoenHendrks ja ik heb nog niks gegeten vandaag
14,5.999096427565793e+17,283599510.0,INFJ,
15,2.4563319120398746e+17,190212837.0,INFJ,@eeuwigheid Pardon? PvdD? De dieren??
16,6.437113805505126e+17,21687228.0,ENTP,"@Olfertjan ja joh, grijze haren verder hoor :)"
17,9.040000723622707e+16,236065550.0,ESFP,Op Almere Buiten wachten op de trein naar Schiphol. Een kort bezoekje Lelystad was het deze keer. Nu richting het westen en mn eigen paard!
18,1.5747129845967258e+17,71625085.0,ISFP,Net de titel bedacht voor m'n klusmemoires. Als ik die ooit nog ga schrijven. 'Vijf jaar met het bord op schoot'
19,6.97070841696215e+16,188662630.0,ENFP,"Het is duidelijk, fc twente is beter in de eerste helft, staat na de eerste helft met 0-1 voor en de supports ... http://tmi.me/acAmG"
20,20409736118.0,111988411.0,ESTJ,@Daanfey tanx voor de tip. Wil hem ook graag zien. Was Jolie nog goed voor dr leeftijd?:P
21,1.968668383223644e+17,41081792.0,ENFP,@kittybertels dankjewel! We oefenen met zingen voor de koningin ;)
22,2.8211280238517862e+17,42264781.0,ESTJ,Fleurig hoor! RT @DELTAnv: Onze #socialtree oogt een stuk kleurrijker door de toevoeging van rode rozen en cupcakes. http://t.co/fjnkQQIY
23,1.831657278413373e+17,65329525.0,ESFJ,@bayernhpb echt???? Het water loopt me in de mond als ik er aan denk! Wel lekker om met Pasen te eten :)
24,4.605087947876106e+17,390585432.0,ESFP,"“@PaulaS62: The KING of the Konikpaarden bij #loevestein #munnikenland #hengst, wat een beauty... http://t.co/6Z7IQtIGSp” Schitterend!"
25,6.068357478329098e+17,13616622.0,ENTP,@danielvanderree heb je daar meer over?
26,15795271046.0,9103942.0,ENTP,@moraal GL natuurlijk :)
27,6.445443768201011e+17,226598212.0,ENFP,@superernie Objectief? Beide begrippen zijn kwalificatie van Bild. Hoe weten ze 's mans denominatie? Terrorist m.i. objectiever.
28,4.717318164714783e+17,129036432.0,INTP,@KatVanMul Je mag altijd eens bij een afgestudeerde 'hogere B' ten rade komen.
29,6.033034583478231e+17,2666167934.0,ISFP,"Best wel vrouwen ook die hun diensten aanbieden, dat vond ik wat aanmatigend. Wel allemaal lekker in de buurt."
30,5.336721296158925e+17,313438778.0,ISTP,@hetjoch Als ze nu nog een rondje zou geven is ze helemaal een held!
31,2.5421683945702605e+17,79135041.0,INTJ,"heeft zojuist een een runtastic run van 10,18 km in 54 minuten 20 seconden met de hulp van #runtastic Android App: http://t.co/C6ou2Du0"
32,5.865432133154939e+17,198588841.0,INFP,
33,3.4730469322091315e+17,378662337.0,ISFJ,"@TAnthonissen Haha het was maar een grapje, uiteraard! ;-)"
34,6.461851610680279e+17,123587034.0,ISTJ,Om de een of andere reden is het voor mij niet mogelijk @HaraldDoornbos te volgen.
35,6.23774135618007e+17,13616622.0,ENTP,@DanielleHermans @MiesjeB @pietervdwielen @zomergasten goed plan. Onderschatte presentator. #zomergasten. En dan  @GVerbaan  als gast;)
36,1.730880431656878e+17,8971092.0,ENTP,"@AndreSpeek gefeliciteerd, mooie mijlpaal!"
37,5.1581788573926605e+17,43676303.0,ISTJ,"@2huizenverder Oeps, zou nu in orde moeten zijn. Thx!"
38,9473561463.0,24671618.0,ENTP,Na de winter lijkt nu de regentijd aangebroken. Ik rond af. Woensdag beoordelingsgesprek opdracht 1.
39,4.53777080418046e+17,37656627.0,INTJ,"@matthijsblokker en, was het goed?"
40,9.114006888605286e+16,101726966.0,ENFP,
41,3.349738922905518e+17,20038097.0,ENTP,
42,5.238825146555597e+16,210530326.0,ENFP,"Aah het is vet lekker buiten , hoe vaak zou dat al getweet zijn deze week? ! :o"
43,3.68299042125525e+17,300475040.0,ENFJ,Natasha:van Dalen MCM http://t.co/YGXQuTy9lx
44,3.093571297503232e+16,3514161.0,ENFP,
45,5.665223355038433e+17,103042619.0,ESTJ,Dat is makkelijk #synchro coachen! http://t.co/KkWGS9JHEZ http://t.co/NlNiSbUQLd
46,1.955169226227794e+17,191097234.0,INFP,"@IamMexicann ik vind 2 uur al veel, dus k wil niet 3 tussenuren hoor :/"
47,5.843910030476247e+17,113457837.0,ESFJ,"Jeeej, over de 100 vind-ik-leuks heen :) #trots Volg jij mijn blog al op #Facebook? https://t.co/dJHiP3gi2M #likes #dtv #ttot #rtot"
48,2.9120093464049664e+17,228409032.0,ISFP,Ik heb net een 'gewone' wandeling gemaakt. Was al heerlijk. Maar het kan nóg rustgevender: de mindfullness-wandeling. http://t.co/D5p4YemC
49,6.079590849487217e+17,815844200.0,INTJ,@bckybarnes_ @milanhuh de dude die het had geschreven had het oorspronkelijk gratis gepost op zn website als leuk verhaaltje wtf he famous
50,4.03545091652223e+17,78009624.0,ESTJ,Zomaar ergens in de duinen.. http://t.co/A7giszp6pV
51,4.409268065486848e+17,230509545.0,ENTP,"Ja, Bianc. En je weet wat er gebeurt als Anton een zoon kwijt raakt: Dan moet hij zijn verdriet kwijt in iemand. En vast niet bij jou! #gtst"
52,6.333020504078746e+16,283706652.0,ISTP,
53,3.1864904964757094e+17,6368502.0,ENTP,@tamaela @RickDronkers @SabinedeVos @MikevHoenselaar hier is behoefte aan: https://t.co/hUCXTHvNKX . Schijnbaar.
54,1.8834108971391386e+17,185206021.0,ISFP,@HenricoBeekhuis weetniet! Hou het niet heel erg meer bij haha
55,2.890927180371763e+17,843193712.0,ENFP,@CharlotteHMPNS welk toestel heb je soms? :p
56,3.500725693129687e+17,397276209.0,ISFJ,"""@xannickxcharrie: sommige mensen moeten ff hun bek houden op twitter"" *HASHTAG*bekdicht"
57,6.547524640259891e+17,551154894.0,ISFJ,"@KittyKilian @paulinelerutte Hoe weet ik niet, maar volgens mij importeren ze je mail gewoon naar je nieuwsbriefsysteem."
58,5.257452738099405e+17,23291493.0,ESFJ,
59,2.791652476994478e+17,23431671.0,ESTJ,
60,3.3109057502776115e+17,111463513.0,ESFJ,
61,5.627002721125171e+17,255133947.0,ENFP,Volgens mij was Willems nog niet helemaal klaar voor deze wedstrijd. #rood #nacpsv
62,5.907608849868964e+17,20784601.0,ENTJ,Bijna botsingen door ontstaan kijkersfilevorming op de #A28. Niet bepaald veilig die #langzaamaanacties van de @Politie
63,1.345289355296809e+17,113583634.0,ISTJ,"Hoe #frustrerend is het als men zegt dat je het je tegenstander niet makkelijk hebt gemaakt, maar je verliest wel 2 van je 3 wedstrijden"
64,2.4923143551125917e+17,113583634.0,ISTJ,"@eurestHTCE fijn, eindelijk een brievenbus! Waar staat die?"
65,6.116320941422715e+17,331466080.0,INTP,@tettenslet Vind jij het real dan?
66,5.73552266461995e+17,81140917.0,ESFP,@MarcHesp jij ook! #Nuvooruit
67,6.136385607349699e+17,17092811.0,INTP,"@EWdeVlieger @jndkgrf @cafeweltschmerz Twee: 
1. Waarom hij zelf zulke lange tenen heeft terwijl het zijn vak is om op tenen te staan."
68,5.013305871159296e+16,157637076.0,ENFP,"@LindaBouwens ...compleet plaksetje erbij, grote reservetube lijm, wellicht nog wat extra eten -vergeet je ook altijd-. Wordt een mooie tas!"
69,4.545155727061279e+17,287347336.0,ESFP,
70,6.288226738843361e+17,78251100.0,INFP,
71,5.110857411167805e+17,250780421.0,ENFP,"@ShanonMPeeters sowieso, en woensdag ook"
72,6.554747218662564e+17,147720014.0,INFP,@VincentSchmitz @Elvira_w so says I staat sowieso in elk lijstje.
73,1.5197974569590784e+17,92021719.0,INTJ,@JadisNoir komen de gebakjes daar ook uit het niets? #spooky //@vh2140
74,5.814341151085486e+17,38620596.0,ISFP,De Online Marketing Daily is uit! http://t.co/aCNqVfNUYZ Met bijdragen via @RecruiterInsite @RonaldHeynes @nccw
75,6.1845427925538e+17,70340557.0,ENTP,Ohhh het was dus écht @halinareijn http://t.co/9GczgUHHjq
76,4.1556119074861056e+17,61511669.0,ENTP,Er werkt iets in mijn huis. Onregelmatig gekraak en ik weet niet waar het vandaan komt. Scary
77,1.996041255147397e+17,314677328.0,ENFP,"@AbArkeraats @AnsHoogerhuis Inderdaad, dat is gewoon een meisje"
78,4.337139833300746e+17,101075388.0,ENTP,"@WilliamKlaver @Volleytrainers ik bedoel het niet als sneer, maar waar is jullie leercoach? Misschien daar het gevoel neerleggen?"
79,5.307243955271885e+17,161303109.0,ISTP,Ik. Ben zo ontzettend dom. Oordruppels vergeten in het hostel.. Per definitie zijn die al weg gegooid door de schoonmaakster. Zucht.
80,5.393954396790006e+17,59718113.0,ESFJ,"waarom hebben vrouwen met uggs, ook altijd nen fake bontjas aan? en liefst zo ene zonder mouwen."
81,6.034778055742628e+17,815844200.0,INTJ,omg kijk deze foto van mn moeder ik wil ook naar de zoo http://t.co/gcvGRe1SQ5
82,3.622282452083835e+17,114552847.0,INFJ,@rixtbarendsma Leuk! En een mooie regio! Nog 'n voordeel: Portugezen beheersen het Engels beter dan bijv. Spanjaarden.
83,4.3542648591917466e+17,538162515.0,ENFJ,@freyadep Hebt ge trouwens al gemerkt da ze ook zeggen: Do your own electrical work.. Doet Koen goed! :p
84,1.3391390988633702e+17,143483606.0,ENFJ,Wordt het ook nog licht vandaag?!....
85,6.198117701196227e+17,19406000.0,ENFJ,Gekke boys die kamerleden. #champagne http://t.co/6EKMjL5uy7
86,6.39029365599191e+16,40872562.0,ENFJ,wil tussen 12.00u en 12.15u liever niet gestoord worden.
87,5.724702240307159e+17,140731253.0,ENTP,
88,1.687521054636196e+17,226711043.0,ESFJ,
89,5.09250806127018e+17,263610006.0,ESTP,Mijn zicht wordt ook steeds met de minuut slechter 👓
90,3.013970629882143e+17,61167971.0,ESFJ,"Zolang kerken en instituten als non-profit niet non-spirit worden, is er hoop voor een goede mix van organisatie en organisme."
91,5.178286936251556e+17,5463112.0,INTP,
92,5.449611524686725e+17,59718113.0,ESFJ,@palmaerts ik neem gewoon wat tom-trucjes over. komt goed.
93,6.031429865291366e+17,104521127.0,INFP,als ik een wasverzachter zou zijn heette ik reigerfris http://t.co/EgyZ1xxaM1
94,2.487698692171653e+17,20386109.0,ISTJ,"@madebyelands In één keer goed... Haha! Nee, geen Ajax, hou het (voorlopig) bij 'wat anders' trainert!"
95,1.704405440556032e+17,26839112.0,ENFP,@mootje75 jeetje wat heftig!
96,9.15226376956969e+16,69244769.0,ENFP,
97,5.959799107468657e+17,40194168.0,ENFJ,"Echt not done hoor, zeker gezien het dodelijke ongeluk met kindje door bus laatst (in de buurt) helemaal! https://t.co/4MFAOpz9uH"
98,5.516998217534136e+17,113959321.0,ENTP,Voeg een bericht toe aan je video http://t.co/ih8EikZNS8
99,5.5184536801171456e+17,2306475797.0,INFJ,
100,4.657519103694807e+17,34578107.0,INFJ,"@HenkVermaas Ik zag het ja, ik ga m'n best doen!"
101,4.332471872170476e+17,90398880.0,ENFP,
102,8.238085304865178e+16,77198284.0,ENFJ,vindt het jammer dat ze de vrouwenavond bij bierbrouwer La Trappe heeft gemist afgelopen vrijdag: http://t.co/t0KCn0D #VMC
103,5.706645768088208e+17,9103942.0,ENTP,"@moraal Nee, lijkt niet te gaan lukken. Te snel gestart? Hoewel, je moet wel om boven de 52 te komen denk ik."
104,5.99076356769579e+17,191599064.0,ISTJ,Over een uur weer op pad...
105,29549710986.0,22364332.0,INFP,"En met 't geschreven huiswerk in de tas, als beloning 3 uur duurtraining met de MTB selectie van @timheemskerk op en rond de Posbank."
106,6.485965641607168e+17,104969269.0,ENTP,@egtewinkel ja. voor de beste nummers drie.
107,5.884396480803062e+17,63848888.0,ESTP,@telenet nu pings van meer dan 1 seconde... :( Is er hier ergens een leiding geraakt?
108,6.603596442217431e+17,123587034.0,ISTJ,Die keukenmessenintifada. Alleen effectief als je doelstelling is zo snel mogelijk  naar Allah te verkassen.
109,1.7311245821345792e+17,131509266.0,INTP,@Holly1979 echt? (ik zat even onder een steen;)  Goed zeg. En terecht natuurlijk. Lekker bezig. Dit soort nieuws maakt mij dag weet goed.
110,3.0742529693464986e+17,551964091.0,ESTJ,
111,5.91195356190376e+17,339340763.0,ENFP,
112,5.5114102043682e+17,815844200.0,INTJ,@moigimy bij de emte ging ik altijd nog naar de wc als ik nog niet was uitgeklokt hehehehe maar nu werk ik bij de AH
113,2.774897258986373e+17,856824536.0,ENFP,@KosterHans @devosr1968 @ed_ridderbeekx @imranashraf @sven_erich naar Toet mét kids (in spé) in de kerstvakantie of zonder erna?
114,6.009180943877939e+17,551154894.0,ISFJ,"@ingrid3220 nee, zeker geen straf :)"
115,3.5130354538079846e+17,320119525.0,ENFJ,
116,5.117838138409165e+17,17785810.0,ENFP,@ruudketelaar @susanlammers je hebt een punt. Echter. Zij symboliseren kwetsbaarheid &amp; afhankelijkheid. alledaags fenomeen. #tochevennoemen
117,3.984921808491192e+17,243785699.0,ESFP,Zo weer rijles.
118,3.868856796048507e+17,372294681.0,INTJ,Ben er nog niet helemaal over uit waar ik m'n bed heen verplaats. Dus nu staar ik een beetje voor me uit.
119,4.212333744525394e+17,165709771.0,ESFP,"""Als dit Tinder was, zou ik je meteen naar rechts schuiven."""
120,2.985190146851512e+17,380470054.0,ISTJ,"Heerlijk, ouders die drie kwartier te laat komen voor een brugger informatieavond die een uur duurt"
121,7.566910120854323e+16,109352340.0,ESFP,@bambievh is het voor mij positief dat jou naam op en luchtje staat en op de mode gedoe ? Als er Zoë stond oké ! xD
122,6.558247091546849e+17,508871985.0,ESFJ,
123,5.514900707344712e+17,235197669.0,ESTP,@robertjanderek Home Alone 6 is al uit zag ik laatst http://t.co/wGzG7LrC27
124,3.9385290857775104e+17,415044034.0,ESFJ,RTL4 Sinterklaas.....wie kent hem niet......weg met die zwarte pieten.......geef mij maar de kerstman
125,5.3684043796606566e+17,304594597.0,INFP,En een filmpje met een toelichting over kiezen #zorgverzekeringen van @JipBewegingTv http://t.co/HFf9GUn1px
126,6.275210696546714e+17,98579325.0,ESFJ,
127,6.224732287459e+17,17518215.0,INFP,@MontessoriSchdm Wat een ontzettend goede serie is dat!
128,5.621412169813934e+17,199578324.0,ENFJ,@roxxy84 Ahh dat is niet fijn
129,2.4070170492707635e+17,174179001.0,ESFP,@evakeeris plezier en suc6!
130,2.883735101690552e+17,34572460.0,INFP,@ de VVD Nieuwjaarsborrel in Rotterdam.
